48,12110942,K00786.01,Kepler-680 b,CANDIDATE,1,0,0,0,3.689920099,0.000008982,-0.000008982,170.36571,0.00191,-0.00191,0.151,0.304,-0.151,2.6557,0.0677,-0.0677,426.7,13.8,-13.8,1.89,0.54,-0.2,408.99,342.24,-123.32,35.6,1,q1_q17_dr25_tce
49,12366084,K00787.01,Kepler-232 b,CANDIDATE,1,0,0,0,4.431238488,0.000006106,-0.000006106,171.015,0.00111,-0.00111,0.405,0.041,-0.405,3.15,0.0423,-0.0423,1010.9,15.2,-15.2,3.25,0.47,-0.25,351.23,135.26,-68.33,71.1,1,q1_q17_dr25_tce
50,12366084,K00787.02,Kepler-232 c,CANDIDATE,1,0,0,0,11.37936986,0.00002415,-0.00002415,133.84992,0.00183,-0.00183,0.911,0.009,-0.656,2.6255,0.073,-0.073,1023.5,29.7,-29.7,3.95,0.57,-0.31,99.68,38.38,-19.39,37.9,2,q1_q17_dr25_tce
51,12404086,K00788.01,Kepler-681 b,CANDIDATE,1,0,0,0,26.39432897,0.00005724,-0.00005724,176.05459,0.00176,-0.00176,0.602,0.25,-0.396,3.573,0.0643,-0.0643,1510.9,36.3,-36.3,3.07,0.41,-0.22,13.49,6.07,-3.21,48.2,1,q1_q17_dr25_tce
52,8395660,K00116.01,Kepler-106 c,CANDIDATE,1,0,0,0,13.57078281,0.00001585,-0.00001585,136.279194,0.000957,-0.000957,0.866,0.015,-0.621,3.3539,0.0489,-0.0489,511.7,6.3,-6.3,2.64,0.4,-0.27,89.61,38.12,-22.92,88.4,1,q1_q17_dr25_tce
53,9579641,K00115.02,Kepler-105 c,CANDIDATE,1,0,0,0,7.12594387,0.00001406,-0.00001406,139.00492,0.00159,-0.00159,0.898,0.013,-0.699,3.0014,0.0384,-0.0384,192.4,4.4,-4.4,1.79,0.26,-0.23,233.31,94.86,-70.6,47.1,2,q1_q17_dr25_tce
54,11656840,K00774.01,,FALSE POSITIVE,0.014,0,1,0,7.442652004,0.000000702,-0.000000702,169.9717797,0.0000732,-0.0000732,0.137,0.346,-0.224,2.3078,0.0129,-0.0129,24446,37.8,-37.8,15.03,4.73,-1.58,206.78,195.52,-61.76,835.6,1,q1_q17_dr25_tce
55,11754553,K00775.01,Kepler-52 c,CANDIDATE,1,0,0,0,16.38489988,0.00005219,-0.00005219,172.72782,0.00248,-0.00248,0.001,0.437,-0.001,3.0249,0.0798,-0.0798,1127.1,42,-42,2,0.09,-0.1,8.35,1.49,-1.35,28.9,2,q1_q17_dr25_tce
56,11754553,K00775.02,Kepler-52 b,CANDIDATE,1,0,0,0,7.8774163,0.00001493,-0.00001493,176.3759,0.00147,-0.00147,0.041,0.409,-0.041,2.0805,0.0517,-0.0517,1306.1,37.7,-37.7,2.16,0.09,-0.11,22.18,3.97,-3.59,38.7,1,q1_q17_dr25_tce
57,11754553,K00775.03,Kepler-52 d,CANDIDATE,1,0,0,0,36.4454001,0.0001809,-0.0001809,151.60125,0.00392,-0.00392,0.028,0.437,-0.028,4.007,0.126,-0.126,1122.3,53.4,-53.4,1.99,0.09,-0.09,2.88,0.51,-0.47,21.7,3,q1_q17_dr25_tce
58,11812062,K00776.01,Kepler-673 b,CANDIDATE,1,0,0,0,3.728732147,0.000000936,-0.000000936,171.793255,0.000195,-0.000195,0.558,0.13,-0.149,2.683,0.035,-0.035,5226.5,18.5,-18.5,6.02,1.22,-0.52,258.34,162.58,-65.21,345.2,1,q1_q17_dr25_tce
59,11818800,K00777.01,,CANDIDATE,0.999,0,0,0,40.4195037,0.0001139,-0.0001139,173.56469,0.00222,-0.00222,0.911,5.567,-0.118,3.362,0.14,-0.14,6256,230,-230,7.51,1.12,-0.91,11.29,5.67,-3.57,36.9,1,q1_q17_dr25_tce
60,11853255,K00778.01,Kepler-674 b,CANDIDATE,1,0,0,0,2.243380573,0.00000267,-0.00000267,170.679233,0.0009,-0.0009,0.915,0.009,-0.63,1.1196,0.0384,-0.0384,821.7,25.6,-25.6,1.99,0.1,-0.12,107.6,21.47,-20.32,38.9,1,q1_q17_dr25_tce
61,11909839,K00779.01,,FALSE POSITIVE,0,0,1,0,10.405998015,0.000002515,-0.000002515,177.197466,0.00019,-0.00019,0.324,0.061,-0.075,6.5036,0.0145,-0.0145,14489,22.4,-22.4,11.23,2.92,-1.95,113.94,90.01,-45.01,745.2,1,q1_q17_dr25_tce
62,11918099,K00780.01,Kepler-675 b,CANDIDATE,1,0,0,0,2.337437946,0.000001951,-0.000001951,171.761982,0.000659,-0.000659,0.28,0.189,-0.28,1.9982,0.0271,-0.0271,971.2,13.7,-13.7,2.34,0.17,-0.09,311.16,69.46,-40.17,82.4,1,q1_q17_dr25_tce
63,11918099,K00780.02,,CANDIDATE,0.993,0,0,0,7.2406612,0.00001617,-0.00001617,137.75545,0.002,-0.002,1.198,49.85,-0.258,0.558,0.171,-0.171,556.4,44.1,-44.1,19.45,1.4,-0.71,68.63,15.32,-8.86,13.7,2,q1_q17_dr25_tce
64,9579641,K00115.03,,CANDIDATE,0.871,0,0,0,3.43591631,0.00004729,-0.00004729,132.6624,0.011,-0.011,0.624,0.037,-0.476,3.133,0.407,-0.407,23.2,3.4,-3.4,0.55,0.08,-0.07,617.61,251.11,-186.88,8.7,3,q1_q17_dr25_tce
65,11923270,K00781.01,Kepler-676 b,CANDIDATE,1,0,0,0,11.59822233,0.00001407,-0.00001407,180.395376,0.000923,-0.000923,0.679,0.187,-0.47,2.5237,0.052,-0.052,2804.5,46.3,-46.3,2.65,0.21,-0.29,5.82,1.49,-1.63,71,1,q1_q17_dr25_tce
66,11960862,K00782.01,Kepler-677 b,CANDIDATE,1,0,0,0,6.575315881,0.000003726,-0.000003726,173.634044,0.000455,-0.000455,0.39,0.065,-0.306,4.3084,0.0306,-0.0306,2793.3,14.9,-14.9,5.31,1.5,-0.81,251.38,209.1,-91.63,221.1,1,q1_q17_dr25_tce
67,12020329,K00783.01,Kepler-678 b,CANDIDATE,1,0,0,0,7.275040844,0.000004677,-0.000004677,169.994217,0.000507,-0.000507,0.547,0.052,-0.229,7.5377,0.0681,-0.0681,3001,11.5,-11.5,4.86,1.05,-0.37,113.64,75.31,-28.97,312.1,1,q1_q17_dr25_tce
68,12066335,K00784.01,Kepler-231 c,CANDIDATE,1,0,0,0,19.27153892,0.00004145,-0.00004145,186.77093,0.00182,-0.00182,0.031,0.36,-0.031,2.7594,0.0551,-0.0551,1219.8,35.3,-35.3,1.93,0.1,-0.12,5.66,1.13,-1.06,37.1,1,q1_q17_dr25_tce
69,12066335,K00784.02,Kepler-231 b,CANDIDATE,1,0,0,0,10.06524317,0.0000149,-0.0000149,136.28906,0.00119,-0.00119,0.628,0.003,-0.478,1.369,0.0393,-0.0393,1053.3,39.2,-39.2,1.91,0.1,-0.12,13.43,2.69,-2.5,30.3,2,q1_q17_dr25_tce
70,12070811,K00785.01,Kepler-679 b,CANDIDATE,1,0,0,0,12.3935651,0.00003932,-0.00003932,178.74725,0.00245,-0.00245,0.883,0.033,-0.64,3.8896,0.0834,-0.0834,916.6,29.1,-29.1,2.66,0.54,-0.23,49.68,31.16,-12.97,35.8,1,q1_q17_dr25_tce
71,8395660,K00116.02,Kepler-106 e,CANDIDATE,0.998,0,0,0,43.84439721,0.00009613,-0.00009613,151.93538,0.00192,-0.00192,0.852,0.039,-0.585,6.802,0.119,-0.119,615.2,7.7,-7.7,2.87,0.43,-0.3,18.77,7.98,-4.8,83.7,2,q1_q17_dr25_tce
72,3120431,K00798.01,,FALSE POSITIVE,0,0,1,1,3.341913228,0.000009953,-0.000009953,171.63943,0.00247,-0.00247,1.213,11.28,-0.141,3.813,0.12,-0.12,725.3,21.3,-21.3,21.55,3.54,-1.89,268.67,145.91,-70.67,39,1,q1_q17_dr25_tce
73,3246984,K00799.01,,FALSE POSITIVE,0.773,0,0,1,1.626630225,0.000001015,-0.000001015,169.820171,0.000487,-0.000487,1.26,4.827,-0.043,2.1145,0.0285,-0.0285,1620.6,19,-19,32.43,9,-4.83,1355.88,1105.99,-486.6,103.6,1,q1_q17_dr25_tce
74,3342970,K00800.01,Kepler-234 b,CANDIDATE,1,0,0,0,2.711504086,0.0000038,-0.0000038,170.03417,0.00111,-0.00111,0.023,0.405,-0.023,3.0099,0.0423,-0.0423,837.5,14.5,-14.5,3.12,1.02,-0.34,960.79,931.74,-309.76,64.5,1,q1_q17_dr25_tce
75,3342970,K00800.02,Kepler-234 c,CANDIDATE,1,0,0,0,7.21203748,0.00001553,-0.00001553,172.81782,0.00163,-0.00163,0.012,0.394,-0.012,4.0491,0.058,-0.058,950.4,19.5,-19.5,3.32,1.09,-0.36,260.58,252.7,-84.01,51.5,2,q1_q17_dr25_tce
76,12459725,K00789.01,,FALSE POSITIVE,,0,0,0,14.1798187,0.0001643,-0.0001643,171.50237,0.0076,-0.0076,0.1601,0.2975,-0.16,2.505,0.315,-0.315,459.9,51.9,-51.9,1.88,0.71,-0.14,60.35,67.75,-14.34,11.2,,
77,12470844,K00790.01,Kepler-233 b,CANDIDATE,1,0,0,0,8.47237911,0.0000156,-0.0000156,174.16212,0.00149,-0.00149,0.022,0.378,-0.022,2.7245,0.0484,-0.0484,1123.5,26.7,-26.7,2.59,0.37,-0.22,75.44,35.44,-19.3,47.6,1,q1_q17_dr25_tce
78,12470844,K00790.02,Kepler-233 c,CANDIDATE,0.989,0,0,0,60.4189369,0.0005043,-0.0005043,181.16367,0.00625,-0.00625,0.094,0.359,-0.094,5.039,0.184,-0.184,931.3,49.6,-49.6,2.36,0.34,-0.2,5.49,2.58,-1.4,20.1,2,q1_q17_dr25_tce
79,12644822,K00791.01,Kepler-682 b,CANDIDATE,1,0,0,0,12.611904345,0.00000665,-0.00000665,180.892284,0.000413,-0.000413,0.55,0.065,-0.128,5.1497,0.0592,-0.0592,6105.6,27.6,-27.6,7.4,2.2,-0.73,76.15,66.33,-21.39,277.2,1,q1_q17_dr25_tce
